Date,Nitrate_Level
1965-02-28,0.136
1965-02-28,0.6
1966-10-15,0.294
1966-10-15,1.3
1967-06-23,0.452
1967-06-23,2.0
1966-05-24,0.158
1966-05-24,0.7
1967-06-20,0.203
1967-06-20,0.9
1966-04-01,0.316
1966-04-01,1.4
1967-07-21,0.136
1967-07-21,0.6
1965-12-01,0.158
1965-12-01,0.7
1967-04-27,0.023
1967-04-27,0.1
1965-11-01,0.361
1965-11-01,1.6
1965-08-17,0.023
1965-08-17,0.1
1967-01-01,0.339
1967-01-01,1.5
1965-04-15,0.045
1965-04-15,0.2
1966-10-11,0.203
1966-10-11,0.9
1965-02-26,0.587
1965-02-26,2.6
1967-05-01,0.023
1967-05-01,0.1
1967-04-14,1.4
1967-04-14,6.2
1967-07-03,0.226
1967-07-03,1.0
1966-03-14,0.678
1966-03-14,3.0
1967-06-28,0.136
1967-06-28,0.6
1966-03-15,0.633
1966-03-15,2.8
1966-07-24,0.813
1966-07-24,3.6
1966-08-16,0.926
1966-08-16,4.1
1966-08-14,0.881
1966-08-14,3.9
1966-09-01,0.113
1966-09-01,0.5
1965-03-19,0.09
1965-03-19,0.4
1966-05-08,0.045
1966-05-08,0.2
1965-08-03,0.158
1965-08-03,0.7
1967-01-31,0.045
1967-01-31,0.2
1966-03-18,0.339
1966-03-18,1.5
1965-04-20,0.113
1965-04-20,0.5
1967-03-19,0.09
1967-03-19,0.4
1965-02-19,0.429
1965-02-19,1.9
1965-07-27,0.045
1965-07-27,0.2
1965-05-11,0.113
1965-05-11,0.5
1965-02-01,0.339
1965-02-01,1.5
1965-05-18,0.949
1965-05-18,4.2
1967-03-22,0.068
1967-03-22,0.3
1965-11-01,0.045
1965-11-01,0.2
1966-07-14,0.678
1966-07-14,3.0
1967-05-11,0.203
1967-05-11,0.9
1967-07-22,0.203
1967-07-22,0.9
1965-09-28,0.023
1965-09-28,0.1
1966-10-05,0.113
1966-10-05,0.5
1966-09-02,0.068
1966-09-02,0.3
1966-06-28,0.226
1966-06-28,1.0
1967-06-24,0.248
1967-06-24,1.1
1967-01-23,0.407
1967-01-23,1.8
1966-01-01,0.045
1966-01-01,0.2
1965-09-22,0.316
1965-09-22,1.4
1967-06-28,0.474
1967-06-28,2.1
1967-07-21,0.61
1967-07-21,2.7
1966-01-01,0.226
1966-01-01,1.0
1965-03-11,0.136
1965-03-11,0.6
1966-03-14,0.294
1966-03-14,1.3
1966-09-19,0.203
1966-09-19,0.9
1966-07-09,0.61
1966-07-09,2.7
1966-02-04,0.203
1966-02-04,0.9
1965-07-20,0.045
1965-07-20,0.2
1966-03-10,0.452
1966-03-10,2.0
1966-06-02,0.203
1966-06-02,0.9
1966-12-05,0.136
1966-12-05,0.6
1967-04-15,0.474
1967-04-15,2.1
1966-07-15,1.08
1966-07-15,4.8
1966-05-16,0.023
1966-05-16,0.1
1967-06-05,0.203
1967-06-05,0.9
1967-06-01,0.248
1967-06-01,1.1
1965-05-09,0.09
1965-05-09,0.4
1966-03-08,0.745
1966-03-08,3.3
1965-05-18,0.045
1965-05-18,0.2
1967-06-11,0.181
1967-06-11,0.8
1967-05-10,0.181
1967-05-10,0.8
1967-03-16,0.09
1967-03-16,0.4
1965-01-06,0.09
1965-01-06,0.4
1967-06-22,0.136
1967-06-22,0.6
1965-04-12,0.294
1965-04-12,1.3
1965-10-01,0.497
1965-10-01,2.2
1966-10-26,0.045
1966-10-26,0.2
1966-10-01,0.068
1966-10-01,0.3
1965-11-12,0.023
1965-11-12,0.1
1967-06-10,0.497
1967-06-10,2.2
1966-11-29,0.316
1966-11-29,1.4
1966-02-16,0.339
1966-02-16,1.5
1965-01-01,0.316
1965-01-01,1.4
1966-09-29,0.429
1966-09-29,1.9
1967-06-16,0.09
1967-06-16,0.4
1965-12-01,0.045
1965-12-01,0.2
1965-02-01,0.045
1965-02-01,0.2
1965-05-14,0.994
1965-05-14,4.4
1966-08-25,0.158
1966-08-25,0.7
1967-04-18,0.407
1967-04-18,1.8
1967-03-22,0.068
1967-03-22,0.3
1966-07-22,1.72
1966-07-22,7.6
1967-06-08,0.09
1967-06-08,0.4
1965-10-24,0.068
1965-10-24,0.3
1966-05-01,0.113
1966-05-01,0.5
1967-03-01,0.09
1967-03-01,0.4
1966-10-10,0.181
1966-10-10,0.8
1965-04-11,0.565
1965-04-11,2.5
1967-09-18,0.158
1967-09-18,0.7
1967-02-01,0.045
1967-02-01,0.2
1967-04-13,1.04
1967-04-13,4.6
1965-11-13,0.023
1965-11-13,0.1
1966-12-01,0.09
1966-12-01,0.4
1966-06-16,0.136
1966-06-16,0.6
1966-10-14,0.587
1966-10-14,2.6
1966-10-01,0.045
1966-10-01,0.2
1966-03-05,0.7
1966-03-05,3.1
1965-03-11,0.023
1965-03-11,0.1
1965-10-01,0.045
1965-10-01,0.2
1967-08-01,0.023
1967-08-01,0.1
1966-06-29,0.045
1966-06-29,0.2
1966-04-17,0.452
1966-04-17,2.0
1965-06-25,0.09
1965-06-25,0.4
1966-04-22,0.339
1966-04-22,1.5
1966-03-18,0.474
1966-03-18,2.1
1965-05-19,1.99
1965-05-19,8.8
1966-03-23,0.497
1966-03-23,2.2
1967-06-18,0.181
1967-06-18,0.8
1967-04-28,0.181
1967-04-28,0.8
1965-11-08,0.045
1965-11-08,0.2
1965-11-09,0.045
1965-11-09,0.2
1965-10-20,0.068
1965-10-20,0.3
1966-02-25,0.384
1966-02-25,1.7
1966-04-15,0.09
1966-04-15,0.4
1967-07-14,0.045
1967-07-14,0.2
1965-04-01,0.271
1965-04-01,1.2
1966-06-11,0.09
1966-06-11,0.4
1967-07-12,0.181
1967-07-12,0.8
1965-05-12,0.407
1965-05-12,1.8
1966-10-06,0.181
1966-10-06,0.8
1966-09-15,0.542
1966-09-15,2.4
1966-09-25,0.881
1966-09-25,3.9
1967-05-26,0.361
1967-05-26,1.6
1966-11-28,0.113
1966-11-28,0.5
1967-03-01,0.068
1967-03-01,0.3
1967-05-07,0.136
1967-05-07,0.6
1966-03-09,0.52
1966-03-09,2.3
1966-09-14,1.9
1966-09-14,8.4
1966-08-20,0.678
1966-08-20,3.0
1967-09-01,0.068
1967-09-01,0.3
1966-10-20,0.045
1966-10-20,0.2
1966-03-01,0.633
1966-03-01,2.8
1967-05-26,0.384
1967-05-26,1.7
1966-02-01,0.045
1966-02-01,0.2
1967-05-27,0.361
1967-05-27,1.6
1967-05-10,0.429
1967-05-10,1.9
1967-06-09,0.542
1967-06-09,2.4
1966-07-29,0.904
1966-07-29,4.0
1967-06-07,0.203
1967-06-07,0.9
1966-05-25,0.023
1966-05-25,0.1
1967-08-05,0.023
1967-08-05,0.1
1966-07-01,0.678
1966-07-01,3.0
1966-03-01,0.384
1966-03-01,1.7
1966-04-27,0.361
1966-04-27,1.6
1966-07-19,1.33
1966-07-19,5.9
1967-02-01,0.09
1967-02-01,0.4
1967-05-17,0.113
1967-05-17,0.5
1965-05-17,0.068
1965-05-17,0.3
1965-05-21,1.04
1965-05-21,4.6
1966-04-24,0.407
1966-04-24,1.8
1966-08-30,0.045
1966-08-30,0.2
1966-04-01,0.068
1966-04-01,0.3
1967-01-31,0.203
1967-01-31,0.9
1967-03-21,0.136
1967-03-21,0.6
1965-10-16,0.384
1965-10-16,1.7
1966-08-22,0.181
1966-08-22,0.8
1966-09-03,0.113
1966-09-03,0.5
1967-05-19,0.158
1967-05-19,0.7
1967-06-16,0.136
1967-06-16,0.6
1966-04-26,0.045
1966-04-26,0.2
1967-04-13,0.971
1967-04-13,4.3
1965-09-14,0.045
1965-09-14,0.2
1966-09-07,0.045
1966-09-07,0.2
1966-03-09,0.474
1966-03-09,2.1
1970-11-16,0.3
1970-11-16,1.5
1990-07-10,0.27
1990-07-10,1.2
1978-01-03,0.5
1977-12-12,0.3
1979-07-09,1.0
1977-08-24,1.0
1979-03-09,0.8
1977-04-12,0.2
1979-08-15,0.7
1975-05-04,0.56
1976-06-22,0.41
1975-01-15,0.82
1979-03-20,0.2
1979-04-12,0.3
1977-01-26,0.37
1978-07-06,0.2
1978-04-04,0.3
1977-07-27,0.1
1979-02-06,0.6
1979-12-11,0.18
1978-05-03,0.3
1977-09-28,0.1
1980-10-07,0.24
1980-06-30,0.55
1980-01-15,0.63
1980-04-09,0.6
1980-05-06,0.25
1980-12-09,0.1
1980-02-06,0.56
1980-06-04,0.16
1980-03-04,0.52
1980-08-07,0.22
1981-03-05,0.16
1981-11-03,0.11
1981-07-06,0.45
1981-02-04,0.21
1982-06-15,3.6
1982-08-18,0.54
1982-07-19,0.8
1982-05-05,0.23
1982-04-06,0.32
1988-11-20,0.16
1988-01-19,0.95
1988-04-20,0.16
1989-01-09,0.61
1989-04-04,0.2
1990-10-15,0.11
1990-01-08,0.23
1990-04-09,0.11
1990-07-16,0.72
1991-07-10,0.61
1991-01-08,0.18
1991-10-15,0.18
1992-07-22,0.56
1992-01-13,0.48
1992-10-14,0.26
1993-11-15,2.65
1993-05-15,0.24
1993-11-15,1.43
1993-11-15,0.4
1993-11-15,0.49
1993-05-15,0.32
1993-05-15,0.2
1993-11-15,0.99
1993-05-15,0.26
1993-11-15,0.8
1993-05-15,0.13
1993-05-15,0.12
1993-05-15,0.22
1993-01-19,1.2
1993-05-15,0.42
1993-11-15,0.14
1993-07-27,0.31
1993-11-15,0.12
1993-11-15,0.23
1993-11-15,0.26
1993-05-15,1.33
1993-05-15,0.21
1993-11-15,3.22
1993-05-15,0.1
1993-05-15,0.14
1993-05-15,0.13
1993-11-15,0.84
1993-05-15,0.24
1994-11-15,0.3
1994-11-15,0.57
1994-05-15,0.27
1994-11-15,0.1
1994-11-15,0.15
1994-11-15,0.25
1994-11-15,0.25
1994-11-15,0.2
1994-05-15,0.13
1994-01-04,0.12
1994-05-15,0.13
1994-11-15,0.6
1994-05-15,0.24
1995-05-15,0.23
1995-11-15,0.1
1995-11-15,0.15
1995-11-15,0.38
1995-05-15,0.18
1995-05-15,0.43
1995-11-15,0.24
1995-07-25,0.029
1995-05-15,0.25
1995-05-15,0.42
1995-11-15,0.3
1995-05-15,0.25
1995-05-15,0.53
1995-05-15,0.11
1995-04-25,0.28
1995-05-15,0.22
1995-11-15,0.95
1995-05-15,0.6
1995-11-15,0.85
1996-07-16,0.4
1996-05-15,0.17
1996-11-15,0.7
1996-11-15,0.2
1996-05-15,0.14
1996-11-15,0.9
1996-05-15,0.4
1996-11-15,1.2
1996-11-15,0.6
1996-11-15,0.9
1996-05-15,0.2
1996-11-15,0.2
1996-05-15,0.6
1996-05-15,0.4
1996-05-15,0.01
1996-01-09,0.62
1996-04-24,0.12
1996-11-15,0.5
1997-11-15,0.6
1997-05-15,0.24
1997-05-15,0.44
1997-05-15,0.07
1997-05-15,0.24
1997-05-15,0.25
1997-11-15,0.16
1997-05-15,0.88
1997-05-15,0.27
1997-11-15,1.1
1997-05-15,0.59
1997-05-15,0.34
1997-11-15,0.63
1997-05-15,0.26
1997-11-15,0.07
1997-11-15,1.31
1997-05-15,0.19
1997-11-15,1.03
1997-05-15,0.52
1998-05-15,0.26
1998-05-15,0.07
1998-05-15,0.69
1998-05-15,0.24
2000-07-11,38.6
2000-07-11,28.6
2001-09-04,0.0
2002-06-19,3.6
2003-06-17,0.0
2008-08-20,0.0
2008-08-01,0.51254
2008-07-30,0.05909
2008-07-31,0.0
2008-07-29,0.0
2014-08-21,0.019
2014-08-20,0.0
2014-08-20,0.096
2015-07-14,0.306
2015-07-14,0.397
2015-07-14,0.395
2015-07-14,0.31
2016-10-26,0.926
2016-05-24,0.486
2016-05-24,0.496
2016-05-24,0.107
2016-10-26,0.951
2016-09-29,0.549
2016-08-24,0.507
2016-09-28,0.331
2016-06-22,0.199
2016-06-21,0.446
2016-09-28,0.643
2016-06-21,0.229
2016-10-25,0.465
2016-10-25,0.468
2016-08-23,0.422
2016-09-29,0.538
2016-08-25,0.183
2016-08-25,0.175
2016-06-22,0.197
2016-09-28,0.498
2016-07-19,0.342
2016-10-25,0.056
2016-05-23,0.081
2016-07-19,0.548
2016-05-24,0.348
2016-07-19,0.362
2016-06-21,0.297
2017-07-20,0.313
2017-07-27,0.08
2017-09-14,0.222
2017-05-25,0.285
2017-06-20,0.259
2017-06-14,0.301
2017-09-12,0.65
2017-08-23,0.119
2017-09-14,0.201
2017-08-23,0.128
2017-07-25,0.321
2017-09-12,0.207
2017-06-20,0.085
2017-06-14,0.32
2017-07-27,0.09
2017-08-15,0.351
2017-09-13,0.455
2017-05-25,0.311
2017-08-14,0.052
2017-05-23,0.062
2018-08-16,0.1
2018-09-24,0.109
2018-06-26,0.216
2018-05-10,0.598
2018-07-23,0.176
2018-07-19,0.134
2018-08-09,0.134
2018-06-07,0.921
2018-10-15,1.21
2018-08-16,0.111
2018-08-09,0.05
2018-07-31,0.192
2018-06-12,0.113
2018-06-26,0.341
2018-08-13,0.144
2018-10-16,0.066
2018-10-15,0.542
2018-09-17,0.79
2018-08-22,0.091
2018-08-16,0.848
2018-08-22,0.168
2018-07-30,0.876
2018-05-14,0.188
2018-08-13,0.431
2018-05-24,0.247
2018-05-23,0.525
2018-09-24,0.39
2018-10-29,0.061
2018-06-13,0.344
2018-07-24,0.255
2018-06-27,0.08
2018-07-23,0.412
2018-05-22,0.211
2019-09-18,0.467
2019-10-07,1.02
2019-09-17,0.464
2019-10-07,1.02
2019-08-20,0.141
2019-05-13,0.53
2019-07-22,0.164
2019-08-19,1.15
2019-10-07,0.061
2019-08-19,0.379
2019-09-18,0.13
2019-10-07,0.257
2019-10-07,0.276
2019-10-16,0.417
2019-07-30,1.07
2019-08-19,0.38
2019-10-16,0.126
2019-09-17,0.272
2019-09-17,0.137
2019-10-16,0.408
2019-07-22,0.17
2019-05-15,0.222
2019-07-22,0.056
2019-08-19,1.13
